<<<<<<< HEAD
1001199410000 99000000
1019197410001 99000001
1002196110002 99000002
1002196410003 99000003
1003199410004 99000004
1029197810005 99000005
1015198310006 99000006
1021199110007 99000007
1021196610008 99000008
1024197410009 99000009
1020196210010 99000010
1020199210011 99000011
1000197810012 99000012
1012198410013 99000013
1008196710014 99000014
1009196710015 99000015
1024196310016 99000016
1002197310017 99000017
1029198910018 99000018
1009197710019 99000019
1025197710020 99000020
1012197310021 99000021
1007197610022 99000022
1003197510023 99000023
1000198010024 99000024
1024198910025 99000025
1004196810026 99000026
1010196110027 99000027
1029196510028 99000028
1022199510029 99000029
1018198910030 99000030
1002197110031 99000031
1027196710032 99000032
1023197110033 99000033
1014196610034 99000034
1026199510035 99000035
1015199510036 99000036
1015199110037 99000037
1002196610038 99000038
1007198010039 99000039
1019198310040 99000040
1017198810041 99000041
1019199010042 99000042
1024196210043 99000043
1007197810044 99000044
1015196110045 99000045
1018198710046 99000046
1018199210047 99000047
1003199310048 99000048
1011199510049 99000049
1000198910050 99000050
1016197610051 99000051
1007198810052 99000052
1015197210053 99000053
1010197510054 99000054
1013196010055 99000055
1023197910056 99000056
1029198210057 99000057
1013197910058 99000058
1011196110059 99000059
1006197610060 99000060
1014197610061 99000061
1002196010062 99000062
1020198110063 99000063
1008199210064 99000064
1002196910065 99000065
1009199010066 99000066
1026196910067 99000067
1024197410068 99000068
1026196110069 99000069
1003199410070 99000070
1022199510071 99000071
1009198410072 99000072
1020196510073 99000073
1012196510074 99000074
1014198910075 99000075
1024196010076 99000076
1027199510077 99000077
1020197710078 99000078
1020198810079 99000079
1007197310080 99000080
1016197410081 99000081
1026197210082 99000082
1013199410083 99000083
1004199010084 99000084
1024198010085 99000085
1026199210086 99000086
1026197310087 99000087
1021196810088 99000088
1014198210089 99000089
1001198110090 99000090
1011197310091 99000091
1016198210092 99000092
1010196210093 99000093
1003196710094 99000094
1023198010095 99000095
1027199710096 99000096
1022197510097 99000097
1005197510098 99000098
1023196210099 99000099
1017197010100 99000100
1016197610101 99000101
1010199210102 99000102
1008199710103 99000103
1001197410104 99000104
1007199610105 99000105
1025199410106 99000106
1000197910107 99000107
1021199010108 99000108
1018199610109 99000109
1001199710110 99000110
1028196510111 99000111
1010198110112 99000112
1003197910113 99000113
1022196710114 99000114
1016196210115 99000115
1014198810116 99000116
1025196210117 99000117
1000199110118 99000118
1015196110119 99000119
1003197310120 99000120
1016196610121 99000121
1020197610122 99000122
1000199710123 99000123
1018199710124 99000124
1010198310125 99000125
1008199310126 99000126
1011198610127 99000127
1012197510128 99000128
1025198110129 99000129
1008197010130 99000130
1009196910131 99000131
1002196110132 99000132
1020196510133 99000133
1023199110134 99000134
1013198710135 99000135
1018198510136 99000136
1027197110137 99000137
1006198510138 99000138
1011198210139 99000139
1009199610140 99000140
1006197410141 99000141
1027199010142 99000142
1014199110143 99000143
1022196010144 99000144
1028199310145 99000145
1020198110146 99000146
1017198310147 99000147
1024198310148 99000148
1021196410149 99000149
1013196310150 99000150
1012199310151 99000151
1020198810152 99000152
1017199410153 99000153
1020199610154 99000154
1020198210155 99000155
1029197910156 99000156
1005197710157 99000157
1023197910158 99000158
1022198010159 99000159
1021198810160 99000160
